"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/return/Return2.feature: [14] Do not fail when returning type of deleted relationships","277","test_do_not_fail_when_returning_type_of_deleted_relationships","tests.tck","Thu May 14 13:57:29 CST 2026","failed","Thu May 14 13:57:29 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/set/Set4.feature: [1] Set multiple properties with a property map","126","test_set_multiple_properties_with_a_property_map","tests.tck","Thu May 14 13:57:43 CST 2026","broken","Thu May 14 13:57:43 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/typeConversion/TypeConversion4.feature: [10] Fail `toString()` on invalid types","191","test_fail_tostring_on_invalid_types[p-path]","tests.tck","Thu May 14 14:00:57 CST 2026","failed","Thu May 14 14:00:57 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/create/Create6.feature: [5] Filtering after creating nodes affects the result set but not the side effects","109","test_filtering_after_creating_nodes_affects_the_result_set_but_not_the_side_effects","tests.tck","Thu May 14 13:56:10 CST 2026","failed","Thu May 14 13:56:10 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/string/String8.feature: [5] Finding strings starting with newline","185","test_finding_strings_starting_with_newline","tests.tck","Thu May 14 13:59:51 CST 2026","broken","Thu May 14 13:59:51 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/return/Return4.feature: [4] Keeping used expression 1","159","test_keeping_used_expression_1","tests.tck","Thu May 14 13:57:31 CST 2026","broken","Thu May 14 13:57:31 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier4.feature: [11] All quantifier with IS NULL predicate","41","test_all_quantifier_with_is_null_predicate[[0, null]-false]","tests.tck","Thu May 14 13:59:41 CST 2026","passed","Thu May 14 13:59:41 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/delete/Delete6.feature: [1] Limiting to zero results after deleting nodes affects the result set but not the side effects","80","test_limiting_to_zero_results_after_deleting_nodes_affects_the_result_set_but_not_the_side_effects","tests.tck","Thu May 14 13:56:14 CST 2026","broken","Thu May 14 13:56:14 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal2.feature: [1] Should parse date from string","40","test_should_parse_date_from_string['2015202'-'2015-07-21']","tests.tck","Thu May 14 14:00:15 CST 2026","failed","Thu May 14 14:00:15 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal3.feature: [2] Should select local time","20","test_should_select_local_time[datetime({year: 1984, month: 10, day: 11, hour: 12, timezone: '+01:00'})-{time: other}-'12:00']","tests.tck","Thu May 14 14:00:19 CST 2026","broken","Thu May 14 14:00:19 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/literals/Literals8.feature: [24] Fail on a map containing a value without key","25","test_fail_on_a_map_containing_a_value_without_key","tests.tck","Thu May 14 13:59:02 CST 2026","passed","Thu May 14 13:59:02 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/return-orderby/ReturnOrderBy2.feature: [3] Sort on aggregated function","144","test_sort_on_aggregated_function","tests.tck","Thu May 14 13:57:36 CST 2026","failed","Thu May 14 13:57:36 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy3.feature: [3] Sort by two expressions, first in descending order, second in ascending order","149","test_sort_by_two_expressions_first_in_descending_order_second_in_ascending_order[a.bool DESC, a.num]","tests.tck","Thu May 14 13:58:15 CST 2026","passed","Thu May 14 13:58:15 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/create/Create3.feature: [10] WITH-UNWIND-CREATE: A bound node should be recognized after projection with WITH + UNWIND","13","test_withunwindcreate_a_bound_node_should_be_recognized_after_projection_with_with__unwind","tests.tck","Thu May 14 13:56:09 CST 2026","failed","Thu May 14 13:56:09 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/precedence/Precedence2.feature: [1] Numeric multiplicative operations takes precedence over numeric additive operations","105","test_numeric_multiplicative_operations_takes_precedence_over_numeric_additive_operations[%-+-/-1-2]","tests.tck","Thu May 14 13:59:15 CST 2026","passed","Thu May 14 13:59:15 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal9.feature: [4] Should truncate localtime","21","test_should_truncate_localtime['second'-datetime({year: 1984, month: 10, day: 11, hour: 12, minute: 31, second: 14, nanosecond: 645876123, timezone: '+01:00'})-{nanosecond: 2}-'12:31:14.000000002']","tests.tck","Thu May 14 14:00:47 CST 2026","failed","Thu May 14 14:00:47 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier1.feature: [10] None quantifier on lists containing nulls","25","test_none_quantifier_on_lists_containing_nulls[[34, 10, null, 15, 900]-x < 10-null]","tests.tck","Thu May 14 13:59:21 CST 2026","broken","Thu May 14 13:59:21 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier4.feature: [3] All quantifier on list literal containing integers","25","test_all_quantifier_on_list_literal_containing_integers[[20, 3, 5000, -2]-x = 2-false]","tests.tck","Thu May 14 13:59:38 CST 2026","passed","Thu May 14 13:59:38 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/precedence/Precedence1.feature: [5] Negation takes precedence over inclusive disjunction","85","test_negation_takes_precedence_over_inclusive_disjunction","tests.tck","Thu May 14 13:59:11 CST 2026","passed","Thu May 14 13:59:11 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/merge/Merge5.feature: [28] Fail when using variable length relationship in MERGE","15","test_fail_when_using_variable_length_relationship_in_merge","tests.tck","Thu May 14 13:57:20 CST 2026","passed","Thu May 14 13:57:20 CST 2026","","test_clauses","",""
